location,trap_set_date,week_ending_saturday,epi_week,year,site_type,virus
Deniliquin,35644,08/02/1997,8,1997,Inland,Kokobera
Griffith,36162,06/02/1999,8,1999,Inland,Kokobera
Bourke,18/02/2004,21/02/2004,8,2004,Inland,Kokobera
Leeton,38719,04/02/2006,8,2006,Inland,Kokobera
Griffith,18/02/2008,23/02/2008,8,2008,Inland,Kokobera
Griffith,22/02/2010,27/02/2010,8,2010,Inland,Kokobera
Griffith,22/02/2012,25/02/2012,8,2012,Inland,Kokobera
Menindee,20/02/2012,25/02/2012,8,2012,Inland,Kokobera
Griffith,42310,14/02/2015,8,2015,Inland,Kokobera
Griffith,42888,11/02/2017,8,2017,Inland,Kokobera
Griffith,24/02/2021,27/02/2021,8,2021,Inland,Kokobera
Albury,44744,12/02/2022,8,2022,Inland,Kokobera
Forbes,29/02/2024,02/03/2024,8,2024,Inland,Kokobera
Griffith,19/02/2024,24/02/2024,8,2024,Inland,Kokobera
Tweed,44077,14/03/2020,11,2020,Coastal,Kokobera
Bourke,38080,06/03/2004,11,2004,Inland,Kokobera
Griffith,26/03/2012,31/03/2012,11,2012,Inland,Kokobera
Leeton,21/03/2012,24/03/2012,11,2012,Inland,Kokobera
Leeton,44077,14/03/2020,11,2020,Inland,Kokobera
Leeton,45385,09/03/2024,11,2024,Inland,Kokobera
Port Stephens,30/03/2010,03/04/2010,12,2010,Coastal,Kokobera
Nambucca,24/03/2024,30/03/2024,12,2024,Coastal,Kokobera
Leeton,20/03/2001,24/03/2001,12,2001,Inland,Kokobera
Griffith,40212,06/03/2010,12,2010,Inland,Kokobera
Griffith,22/03/2010,27/03/2010,12,2010,Inland,Kokobera
Griffith,29/03/2010,03/04/2010,12,2010,Inland,Kokobera
Leeton,40240,06/03/2010,12,2010,Inland,Kokobera
Griffith,40758,12/03/2011,12,2011,Inland,Kokobera
Leeton,22/03/2011,26/03/2011,12,2011,Inland,Kokobera
Bourke,41246,17/03/2012,12,2012,Inland,Kokobera
Griffith,19/03/2012,24/03/2012,12,2012,Inland,Kokobera
Leeton,13/03/2012,17/03/2012,12,2012,Inland,Kokobera
Forbes,14/03/2022,19/02/2022,12,2022,Inland,Kokobera
Macquarie Marshes,18/03/2024,23/03/2024,12,2024,Inland,Kokobera
Hawkesbury,40363,10/04/2010,16,2010,Sydney,Kokobera
Nambucca,14/04/2024,20/04/2024,17,2024,Coastal,Kokobera
Leeton,19/01/1999,23/01/1999,3,1999,Inland,Kunjin
Griffith,23/01/2023,28/01/2023,3,2023,Inland,Kunjin
Macquarie Marshes,23/01/2023,28/01/2023,3,2023,Inland,Kunjin
Griffith,30/01/2017,04/02/2017,4,2017,Inland,Kunjin
Bourke,26/02/1991,02/03/1991,7,1991,Inland,Kunjin
Griffith,15/02/1999,20/02/1999,7,1999,Inland,Kunjin
Condobolin,20/02/1991,23/02/1991,8,1991,Inland,Kunjin
Leeton,37227,17/02/2001,8,2001,Inland,Kunjin
Leeton,14/02/2007,17/02/2007,8,2007,Inland,Kunjin
Griffith,40757,12/02/2011,8,2011,Inland,Kunjin
Griffith,22/02/2011,26/02/2011,8,2011,Inland,Kunjin
Murray-Mathoura,40576,05/02/2011,8,2011,Inland,Kunjin
Griffith,15/03/2011,19/03/2011,11,2011,Inland,Kunjin
Griffith,36163,06/03/1999,12,1999,Inland,Kunjin
Griffith,40758,12/03/2011,12,2011,Inland,Kunjin
Murray-Mathoura,40758,12/03/2011,12,2011,Inland,Kunjin
Griffith,19/03/2012,24/03/2012,12,2012,Inland,Kunjin
Baulkham Hills,25/03/2011,26/03/2011,12,2011,Sydney,Kunjin
Wentworth,27/11/1990,01/12/1990,46,1990,Inland,Kunjin
Lake Cargelligo,19/12/1990,22/12/1990,51,1990,Inland,Kunjin
Leeton,17/12/1990,22/12/1990,51,1990,Inland,Kunjin
Wentworth,18/12/1990,22/12/1990,51,1990,Inland,Kunjin
Balranald,23/01/2023,28/01/2023,3,2023,Inland,Murray Valley encephalitis
Griffith,45200,14/01/2023,3,2023,Inland,Murray Valley encephalitis
Griffith,16/01/2023,21/01/2023,3,2023,Inland,Murray Valley encephalitis
Macquarie Marshes,23/01/2023,28/01/2023,3,2023,Inland,Murray Valley encephalitis
Menindee,45017,07/01/2023,3,2023,Inland,Murray Valley encephalitis
Menindee,45200,14/01/2023,3,2023,Inland,Murray Valley encephalitis
Murray-Mathoura,17/01/2023,21/01/2023,3,2023,Inland,Murray Valley encephalitis
Temora,23/01/2023,28/01/2023,3,2023,Inland,Murray Valley encephalitis
Albury,30/01/2023,04/02/2023,4,2023,Inland,Murray Valley encephalitis
Leeton,31/01/2023,04/02/2023,4,2023,Inland,Murray Valley encephalitis
Murray-Mathoura,30/01/2023,04/02/2023,4,2023,Inland,Murray Valley encephalitis
